TEAM_ID,SEASON,GP_non_clutch,GP_clutch,WINS_non_clutch,WINS_clutch,WIN_PCT_non_clutch,WIN_PCT_clutch,TEAM_NAME
1610612742,2010,71.0,40.0,52.0,25.0,0.7323943661971831,0.625,Dallas Mavericks
1610612742,2011,46.0,26.0,26.0,10.0,0.5652173913043478,0.38461538461538464,Dallas Mavericks
1610612742,2012,63.0,25.0,32.0,12.0,0.5079365079365079,0.48,Dallas Mavericks
1610612742,2013,62.0,35.0,37.0,19.0,0.5967741935483871,0.5428571428571428,Dallas Mavericks
1610612742,2014,67.0,28.0,38.0,17.0,0.5671641791044776,0.6071428571428571,Dallas Mavericks
1610612742,2015,68.0,26.0,33.0,10.0,0.4852941176470588,0.38461538461538464,Dallas Mavericks
1610612742,2016,67.0,22.0,24.0,11.0,0.3582089552238806,0.5,Dallas Mavericks
1610612742,2017,62.0,26.0,21.0,7.0,0.3387096774193548,0.2692307692307692,Dallas Mavericks
1610612742,2018,54.0,31.0,20.0,14.0,0.37037037037037035,0.45161290322580644,Dallas Mavericks
1610612742,2019,59.0,30.0,38.0,11.0,0.6440677966101694,0.36666666666666664,Dallas Mavericks
1610612742,2020,63.0,19.0,35.0,12.0,0.5555555555555556,0.631578947368421,Dallas Mavericks
1610612742,2021,85.0,19.0,54.0,11.0,0.6352941176470588,0.5789473684210527,Dallas Mavericks
1610612742,2022,18.0,17.0,8.0,10.0,0.4444444444444444,0.5882352941176471,Dallas Mavericks
1610612743,2003,73.0,22.0,42.0,8.0,0.5753424657534246,0.36363636363636365,Denver Nuggets
1610612743,2004,71.0,21.0,41.0,14.0,0.5774647887323944,0.6666666666666666,Denver Nuggets
1610612743,2005,67.0,28.0,35.0,17.0,0.5223880597014925,0.6071428571428571,Denver Nuggets
1610612743,2006,67.0,27.0,40.0,10.0,0.5970149253731343,0.37037037037037035,Denver Nuggets
1610612743,2007,70.0,23.0,45.0,9.0,0.6428571428571429,0.391304347826087,Denver Nuggets
1610612743,2008,78.0,27.0,55.0,15.0,0.7051282051282052,0.5555555555555556,Denver Nuggets
1610612743,2009,73.0,22.0,45.0,13.0,0.6164383561643836,0.5909090909090909,Denver Nuggets
1610612743,2010,65.0,30.0,41.0,15.0,0.6307692307692307,0.5,Denver Nuggets
1610612743,2011,50.0,25.0,29.0,14.0,0.58,0.56,Denver Nuggets
1610612743,2012,65.0,30.0,46.0,16.0,0.7076923076923077,0.5333333333333333,Denver Nuggets
1610612743,2013,60.0,29.0,26.0,12.0,0.43333333333333335,0.41379310344827586,Denver Nuggets
1610612743,2014,72.0,18.0,26.0,6.0,0.3611111111111111,0.3333333333333333,Denver Nuggets
1610612743,2015,61.0,28.0,20.0,17.0,0.32786885245901637,0.6071428571428571,Denver Nuggets
1610612743,2016,66.0,24.0,34.0,10.0,0.5151515151515151,0.4166666666666667,Denver Nuggets
1610612743,2017,64.0,23.0,37.0,12.0,0.578125,0.5217391304347826,Denver Nuggets
1610612743,2018,69.0,31.0,41.0,23.0,0.5942028985507246,0.7419354838709677,Denver Nuggets
1610612743,2019,73.0,26.0,46.0,14.0,0.6301369863013698,0.5384615384615384,Denver Nuggets
